Word File                   hunspell-el_1%3a6.4.3-1/el_GR
Total Words Spelling        828806
Positives Nuspell           828806
Positives Hunspell          828806
Negatives Nuspell           0
Negatives Hunspell          0
True Positives              828806
True Negatives              0
False Positives             0
False Negatives             0
True Positive Rate          1
True Negative Rate          0
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      1247944047
Total Duration Hunspell     928816038
Minimum Duration Nuspell    594
Minimum Duration Hunspell   570
Average Duration Nuspell    1505
Average Duration Hunspell   1120
Maximum Duration Nuspell    102343
Maximum Duration Hunspell   74650
Maximum Speedup             69.1004
Accuracy                    1
Precision                   1
Speedup                     0.744277
