Word File                   hunspell-si_1%3a6.4.3-1/si_LK
Total Words Spelling        30319
Positives Nuspell           30319
Positives Hunspell          30319
Negatives Nuspell           0
Negatives Hunspell          0
True Positives              30319
True Negatives              0
False Positives             0
False Negatives             0
True Positive Rate          1
True Negative Rate          0
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      36847893
Total Duration Hunspell     62147213
Minimum Duration Nuspell    517
Minimum Duration Hunspell   834
Average Duration Nuspell    1215
Average Duration Hunspell   2049
Maximum Duration Nuspell    24598
Maximum Duration Hunspell   15627
Maximum Speedup             16.6328
Accuracy                    1
Precision                   1
Speedup                     1.68659
