Word File                   wklingon_1.0.7/klingon
Total Words Spelling        3962
Positives Nuspell           3962
Positives Hunspell          3962
Negatives Nuspell           0
Negatives Hunspell          0
True Positives              3962
True Negatives              0
False Positives             0
False Negatives             0
True Positive Rate          1
True Negative Rate          0
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      5044606
Total Duration Hunspell     8541866
Minimum Duration Nuspell    703
Minimum Duration Hunspell   1281
Average Duration Nuspell    1273
Average Duration Hunspell   2155
Maximum Duration Nuspell    20274
Maximum Duration Hunspell   17477
Maximum Speedup             14.3137
Accuracy                    1
Precision                   1
Speedup                     1.69327
